graph_id,nodes_count,edges_count,selected_footway_length,total_length,highway_types,selected_footway_coords
72,16,16,4.475715473022376e-05,0.004619447412171051,"{'tertiary': 1, 'secondary': 7, 'footway': 8}","[(118.70150976, 31.98852365), (118.70148978, 31.9885637)]"
73,13,12,0.0001220468029053468,0.004796996760795574,"{'secondary': 10, 'footway': 2}","[(118.73828124, 32.13275616), (118.73838114, 32.13268605)]"
74,8,7,6.387195001886165e-05,0.0006802681247211721,{'footway': 7},"[(118.70115048, 31.98863426), (118.70110062, 31.98859434)]"
75,8,7,6.0967460994047346e-05,0.0006560493092698931,{'footway': 7},"[(118.82537964, 32.06744663), (118.82531952, 32.0674365)]"
76,17,16,0.00018383315289055143,0.004700010589807188,"{'footway': 13, 'secondary': 3}","[(118.90357164, 32.09967846), (118.90364148, 32.09950841)]"
77,8,7,0.00020372940974770542,0.0027127381896055046,{'footway': 7},"[(118.73002392, 31.95079218), (118.72982412, 31.95075236)]"
78,10,9,0.0001498740034178631,0.0026440554792571806,"{'footway': 5, 'tertiary': 4}","[(118.9082853, 32.13097232), (118.90840518, 32.13106227)]"
79,10,9,2.2320459228438594e-05,0.0007146124052564184,{'footway': 9},"[(118.83692484, 32.05095359), (118.83694482, 32.05094364)]"
80,8,7,0.00043474822380472247,0.0047021864772758435,{'footway': 7},"[(118.7609256, 32.04107217), (118.7610957, 32.04067208)]"
81,11,10,5.657564936401776e-05,0.0008192273794248941,{'footway': 10},"[(118.7763471, 32.00544266), (118.77638706, 32.00548271)]"
82,10,9,4.469454104977938e-05,0.003297792152480954,{'footway': 9},"[(118.72206756, 32.00235075), (118.72210752, 32.00233073)]"
83,8,7,6.401256127054485e-05,0.0007165741992916747,{'footway': 7},"[(118.83040812, 32.08017785), (118.83045816, 32.08013793)]"
84,12,11,6.406877554419174e-05,0.0014094044242974806,{'footway': 11},"[(118.82277594, 32.05417923), (118.82273598, 32.05412915)]"
85,8,7,0.0011195225948970422,0.0048006722763906835,{'footway': 7},"[(118.7366103, 32.07267738), (118.73558124, 32.07311825)]"
86,8,7,5.0070195720263584e-05,0.0005423040753419947,{'footway': 7},"[(118.8374058, 32.05084442), (118.83744594, 32.05081449)]"
87,11,10,0.00012554070932646944,0.0013540762246227896,{'footway': 10},"[(118.82739492, 32.05848834), (118.82750508, 32.05854855)]"
88,10,9,0.00011709913108271292,0.0012352095711227968,{'footway': 9},"[(118.74091752, 32.07905667), (118.74095748, 32.0789466)]"
89,8,7,0.00013155388857532068,0.0009603747450767227,{'footway': 7},"[(118.84830696, 32.05518453), (118.84832712, 32.05505453)]"
